"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day"
"JQ1","958","L","958:L",3,558.79497776,0,35,NA
"JQ1+ XRT","991","R","991:R",3,31.965828,0,35,NA
"JQ1+ XRT","991","L","991:L",3,341.062489826667,0,35,NA
"JQ1+ XRT","965","R","965:R",3,44.35212948,0,35,NA
"JQ1+ XRT","965","L","965:L",3,586.959258,0,35,NA
"JQ1+ XRT","956","R","956:R",3,551.701382826667,0,35,NA
"JQ1+ XRT","956","L","956:L",3,251.84238591,0,35,NA
"JQ1+ XRT","972(no tag)","R","972(no tag):R",3,889.6914936,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",3,661.575237093333,0,35,NA
"JQ1+ XRT","954","R","954:R",3,273.671985143333,0,35,NA
"JQ1+ XRT","954","L","954:L",3,540.932419463333,0,35,NA
"JQ1+ XRT","999","R","999:R",3,33.48335232,0,35,NA
"JQ1+ XRT","999","L","999:L",3,1131.37633066667,0,35,NA
"JQ1+ XRT","847","R","847:R",3,875.71274112,0,19,22
"JQ1+ XRT","847","L","847:L",3,583.21001322,1,19,22
"JQ1+ XRT","848","R","848:R",3,875.71274112,1,19,22
"JQ1+ XRT","848","L","848:L",3,583.21001322,0,19,22
"JQ1+ XRT","996","R","996:R",3,55.8999285,0,35,NA
"JQ1+ XRT","996","L","996:L",3,325.29949881,0,35,NA
"JQ1+ XRT","967","R","967:R",3,105.759282,0,35,NA
"JQ1+ XRT","967","L","967:L",3,248.68406244,0,35,NA
"JQ1","970","R","970:R",6,222.696610226667,0,35,NA
"JQ1","970","L","970:L",6,420.83978112,0,35,NA
"JQ1","935","R","935:R",6,284.023466666667,0,35,NA
"JQ1","935","L","935:L",6,245.146917333333,0,35,NA
"JQ1","934 (dead)","R","934 (dead):R",6,NA,0,3,6
"JQ1","934 (dead)","L","934 (dead):L",6,NA,1,3,6
"JQ1","977","R","977:R",6,2132.65571242667,0,19,22
"JQ1","977","L","977:L",6,43.6843179433333,1,19,22
"JQ1","961","R","961:R",6,49.05960335,0,35,NA
"JQ1","961","L","961:L",6,403.692844,0,35,NA
"JQ1","936","R","936:R",6,699.152609333333,1,19,22
"JQ1","936","L","936:L",6,770.327648733333,0,19,22
"JQ1","971","R","971:R",6,217.6926675,0,35,NA
"JQ1","971","L","971:L",6,621.389829,0,35,NA
"JQ1","952","R","952:R",6,3380.31598965333,1,19,22
"JQ1","952","L","952:L",6,1667.62989108,0,19,22
"JQ1","958","R","958:R",6,378.86455,0,35,NA
"JQ1","958","L","958:L",6,801.8168352,0,35,NA
"JQ1+ XRT","991","R","991:R",6,19.14330045,0,35,NA
"JQ1+ XRT","991","L","991:L",6,365.624970266667,0,35,NA
"JQ1+ XRT","965","R","965:R",6,802.793382526667,0,35,NA
"JQ1+ XRT","965","L","965:L",6,583.65807552,0,35,NA
"JQ1+ XRT","956","R","956:R",6,170.276784023333,0,35,NA
"JQ1+ XRT","956","L","956:L",6,366.435331,0,35,NA
"JQ1+ XRT","972(no tag)","R","972(no tag):R",6,0,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",6,0,0,35,NA
"JQ1+ XRT","954","R","954:R",6,190.69739199,0,35,NA
