"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day","Baseline","Drug1","Drug2"
"Vehicle","953","L","953:L",3,992.450768313333,0,35,NA,649.117732973333,0,0
"Vehicle","966","R","966:R",3,646.38073575,1,19,22,352.018858333333,0,0
"Vehicle","966","L","966:L",3,1131.412179,0,19,22,703.64494872,0,0
"Vehicle","986","R","986:R",3,164.29363125,0,35,NA,152.70590556,0,0
"Vehicle","986","L","986:L",3,571.122825,0,35,NA,380.094404266667,0,0
"JQ1","970","R","970:R",3,200.470758693333,0,35,NA,86.407776,1,0
"JQ1","970","L","970:L",3,386.254581343333,0,35,NA,168.77957184,1,0
"JQ1","935","R","935:R",3,353.81542608,0,35,NA,341.963113,1,0
"JQ1","935","L","935:L",3,323.03926244,0,35,NA,190.972599906667,1,0
"JQ1","934 (dead)","R","934 (dead):R",3,244.85449646,0,3,6,281.946570186667,1,0
"JQ1","934 (dead)","L","934 (dead):L",3,682.369257523333,1,3,6,746.931628053333,1,0
"JQ1","977","R","977:R",3,1063.723356,0,19,22,458.270266253333,1,0
"JQ1","977","L","977:L",3,85.997535,1,19,22,53.9234753866667,1,0
"JQ1","961","R","961:R",3,34.7766597066667,0,35,NA,63.82340136,1,0
"JQ1","961","L","961:L",3,265.24987034,0,35,NA,749.15541792,1,0
"JQ1","936","R","936:R",3,741.85220496,1,19,22,617.455814583333,1,0
"JQ1","936","L","936:L",3,790.05509856,0,19,22,989.36038136,1,0
"JQ1","971","R","971:R",3,255.13557552,0,35,NA,105.65027376,1,0
"JQ1","971","L","971:L",3,790.05509856,0,35,NA,1559.76859050667,1,0
"JQ1","952","R","952:R",3,3167.50050936,1,19,22,1761.34583025,1,0
"JQ1","952","L","952:L",3,925.99693191,0,19,22,864.85112316,1,0
"JQ1","958","R","958:R",3,316.131762746667,0,35,NA,107.9689,1,0
"JQ1","958","L","958:L",3,558.79497776,0,35,NA,267.21445059,1,0
"XRT","837","R","837:R",3,736.317307073333,0,19,22,1131.9072,0,1
"XRT","837","L","837:L",3,561.0635524,1,19,22,222.129984666667,0,1
"XRT","976","R","976:R",3,146.741909403333,0,35,NA,89.6208333333333,0,1
"XRT","976","L","976:L",3,615.941314083333,0,35,NA,218.524614163333,0,1
"XRT","960","R","960:R",3,426.86714928,1,19,22,282.27401776,0,1
"XRT","960","L","960:L",3,399.14732976,0,19,22,56.3806802933333,0,1
"XRT","979","R","979:R",3,535.35450096,0,35,NA,388.87770856,0,1
"XRT","979","L","979:L",3,511.95984147,0,35,NA,224.557058133333,0,1
"XRT","998","R","998:R",3,832.407422746666,0,35,NA,800.514922643333,0,1
"XRT","998","L","998:L",3,909.36452775,0,35,NA,622.253813083333,0,1
"XRT","974","R","974:R",3,610.854112686667,0,35,NA,244.11010608,0,1
"XRT","974","L","974:L",3,800.04389229,0,35,NA,865.29655728,0,1
"XRT","997","R","997:R",3,750.672875253333,0,35,NA,468.35549985,0,1
"XRT","997","L","997:L",3,1116.22266659333,0,35,NA,748.341703666667,0,1
"JQ1+ XRT","991","R","991:R",3,31.965828,0,35,NA,31.82705256,1,1
"JQ1+ XRT","991","L","991:L",3,341.062489826667,0,35,NA,147.9949824,1,1
"JQ1+ XRT","965","R","965:R",3,44.35212948,0,35,NA,686.60025,1,1
"JQ1+ XRT","965","L","965:L",3,586.959258,0,35,NA,254.7875442,1,1
"JQ1+ XRT","956","R","956:R",3,551.701382826667,0,35,NA,447.55510365,1,1
"JQ1+ XRT","956","L","956:L",3,251.84238591,0,35,NA,104.202697126667,1,1
"JQ1+ XRT","972(no tag)","R","972(no tag):R",3,889.6914936,0,35,NA,533.88599832,1,1
"JQ1+ XRT","972(no tag)","L","972(no tag):L",3,661.575237093333,0,35,NA,645.350384,1,1
"JQ1+ XRT","954","R","954:R",3,273.671985143333,0,35,NA,244.669696993333,1,1
"JQ1+ XRT","954","L","954:L",3,540.932419463333,0,35,NA,896.898580693333,1,1
"JQ1+ XRT","999","R","999:R",3,33.48335232,0,35,NA,50.34590592,1,1
"JQ1+ XRT","999","L","999:L",3,1131.37633066667,0,35,NA,1422.1688,1,1
"JQ1+ XRT","847","R","847:R",3,875.71274112,0,19,22,1020.6803145,1,1
"JQ1+ XRT","847","L","847:L",3,583.21001322,1,19,22,418.626876586667,1,1
"JQ1+ XRT","848","R","848:R",3,875.71274112,1,19,22,105.65027376,1,1
"JQ1+ XRT","848","L","848:L",3,583.21001322,0,19,22,1559.76859050667,1,1
"JQ1+ XRT","996","R","996:R",3,55.8999285,0,35,NA,39.4867643733333,1,1
"JQ1+ XRT","996","L","996:L",3,325.29949881,0,35,NA,239.263511893333,1,1
"JQ1+ XRT","967","R","967:R",3,105.759282,0,35,NA,152.70590556,1,1
"JQ1+ XRT","967","L","967:L",3,248.68406244,0,35,NA,380.094404266667,1,1
"Vehicle","980","R","980:R",6,261.931674293333,0,35,NA,107.45865,0,0
"Vehicle","980","L","980:L",6,528.905284266667,0,35,NA,479.575978466667,0,0
"Vehicle","973","R","973:R",6,489.25400064,0,35,NA,457.92251544,0,0
"Vehicle","973","L","973:L",6,210.36346947,0,35,NA,157.817708333333,0,0
"Vehicle","955","R","955:R",6,247.539446613333,1,19,22,128.680331626667,0,0
"Vehicle","955","L","955:L",6,2485.13667618667,0,19,22,1674.53775292,0,0
"Vehicle","992","R","992:R",6,189.16148768,0,35,NA,59.49570264,0,0
"Vehicle","992","L","992:L",6,676.24434003,0,35,NA,112.06776808,0,0
"Vehicle","982","R","982:R",6,282.079258213333,0,35,NA,154.981203463333,0,0
"Vehicle","982","L","982:L",6,245.18298756,0,35,NA,147.801841,0,0
"Vehicle","951","R","951:R",6,1031.49221056,0,19,22,348.738657333333,0,0
"Vehicle","951","L","951:L",6,270.80576593,1,19,22,127.43078328,0,0
"Vehicle","953","R","953:R",6,745.1015586,0,35,NA,1061.36940266667,0,0
"Vehicle","953","L","953:L",6,841.759896,0,35,NA,649.117732973333,0,0
"Vehicle","966","R","966:R",6,519.670738946667,1,19,22,352.018858333333,0,0
"Vehicle","966","L","966:L",6,1226.68090416667,0,19,22,703.64494872,0,0
"Vehicle","986","R","986:R",6,230.027255273333,0,35,NA,152.70590556,0,0
"Vehicle","986","L","986:L",6,705.40409604,0,35,NA,380.094404266667,0,0
"JQ1","970","R","970:R",6,222.696610226667,0,35,NA,86.407776,1,0
"JQ1","970","L","970:L",6,420.83978112,0,35,NA,168.77957184,1,0
"JQ1","935","R","935:R",6,284.023466666667,0,35,NA,341.963113,1,0
"JQ1","935","L","935:L",6,245.146917333333,0,35,NA,190.972599906667,1,0
"JQ1","934 (dead)","R","934 (dead):R",6,NA,0,3,6,281.946570186667,1,0
"JQ1","934 (dead)","L","934 (dead):L",6,NA,1,3,6,746.931628053333,1,0
"JQ1","977","R","977:R",6,2132.65571242667,0,19,22,458.270266253333,1,0
"JQ1","977","L","977:L",6,43.6843179433333,1,19,22,53.9234753866667,1,0
"JQ1","961","R","961:R",6,49.05960335,0,35,NA,63.82340136,1,0
"JQ1","961","L","961:L",6,403.692844,0,35,NA,749.15541792,1,0
"JQ1","936","R","936:R",6,699.152609333333,1,19,22,617.455814583333,1,0
"JQ1","936","L","936:L",6,770.327648733333,0,19,22,989.36038136,1,0
"JQ1","971","R","971:R",6,217.6926675,0,35,NA,105.65027376,1,0
"JQ1","971","L","971:L",6,621.389829,0,35,NA,1559.76859050667,1,0
"JQ1","952","R","952:R",6,3380.31598965333,1,19,22,1761.34583025,1,0
"JQ1","952","L","952:L",6,1667.62989108,0,19,22,864.85112316,1,0
"JQ1","958","R","958:R",6,378.86455,0,35,NA,107.9689,1,0
"JQ1","958","L","958:L",6,801.8168352,0,35,NA,267.21445059,1,0
"XRT","837","R","837:R",6,1054.98324764,0,19,22,1131.9072,0,1
"XRT","837","L","837:L",6,464.12239991,1,19,22,222.129984666667,0,1
"XRT","976","R","976:R",6,117.30987405,0,35,NA,89.6208333333333,0,1
"XRT","976","L","976:L",6,572.49841975,0,35,NA,218.524614163333,0,1
"XRT","960","R","960:R",6,340.8329014,1,19,22,282.27401776,0,1
"XRT","960","L","960:L",6,416.73104088,0,19,22,56.3806802933333,0,1
"XRT","979","R","979:R",6,562.32466432,0,35,NA,388.87770856,0,1
"XRT","979","L","979:L",6,638.963048333333,0,35,NA,224.557058133333,0,1
"XRT","998","R","998:R",6,813.44184525,0,35,NA,800.514922643333,0,1
"XRT","998","L","998:L",6,745.48439525,0,35,NA,622.253813083333,0,1
"XRT","974","R","974:R",6,565.723333333333,0,35,NA,244.11010608,0,1
"XRT","974","L","974:L",6,509.32827027,0,35,NA,865.29655728,0,1
"XRT","968","R","968:R",6,366.382501546667,0,35,NA,70.5191666666667,0,1
"XRT","968","L","968:L",6,724.600349973333,0,35,NA,1512.72824004,0,1
"XRT","997","R","997:R",6,732.129629326667,0,35,NA,468.35549985,0,1
"XRT","997","L","997:L",6,1112.500116,0,35,NA,748.341703666667,0,1
"XRT","969","R","969:R",6,1161.14830765333,1,19,22,251.632692,0,1
"XRT","969","L","969:L",6,1363.010415,0,19,22,897.232297276666,0,1
"JQ1+ XRT","991","R","991:R",6,19.14330045,0,35,NA,31.82705256,1,1
"JQ1+ XRT","991","L","991:L",6,365.624970266667,0,35,NA,147.9949824,1,1
"JQ1+ XRT","965","R","965:R",6,802.793382526667,0,35,NA,686.60025,1,1
"JQ1+ XRT","965","L","965:L",6,583.65807552,0,35,NA,254.7875442,1,1
"JQ1+ XRT","956","R","956:R",6,170.276784023333,0,35,NA,447.55510365,1,1
"JQ1+ XRT","956","L","956:L",6,366.435331,0,35,NA,104.202697126667,1,1
"JQ1+ XRT","972(no tag)","R","972(no tag):R",6,0,0,35,NA,533.88599832,1,1
"JQ1+ XRT","972(no tag)","L","972(no tag):L",6,0,0,35,NA,645.350384,1,1
"JQ1+ XRT","954","R","954:R",6,190.69739199,0,35,NA,244.669696993333,1,1
"JQ1+ XRT","954","L","954:L",6,641.045483773333,0,35,NA,896.898580693333,1,1
"JQ1+ XRT","999","R","999:R",6,20.6986293233333,0,35,NA,50.34590592,1,1
"JQ1+ XRT","999","L","999:L",6,508.537215303333,0,35,NA,1422.1688,1,1
"JQ1+ XRT","847","R","847:R",6,0,0,19,22,1020.6803145,1,1
"JQ1+ XRT","847","L","847:L",6,0,1,19,22,418.626876586667,1,1
"JQ1+ XRT","848","R","848:R",6,2044.49969328,1,19,22,105.65027376,1,1
"JQ1+ XRT","848","L","848:L",6,103.842774626667,0,19,22,1559.76859050667,1,1
"JQ1+ XRT","996","R","996:R",6,468.03383825,0,35,NA,39.4867643733333,1,1
"JQ1+ XRT","996","L","996:L",6,31.35976404,0,35,NA,239.263511893333,1,1
"JQ1+ XRT","967","R","967:R",6,384.74852064,0,35,NA,152.70590556,1,1
"JQ1+ XRT","967","L","967:L",6,165.090262333333,0,35,NA,380.094404266667,1,1
"Vehicle","980","R","980:R",9,213.184739583333,0,35,NA,107.45865,0,0
"Vehicle","980","L","980:L",9,594.64868311,0,35,NA,479.575978466667,0,0
"Vehicle","973","R","973:R",9,640.985289973333,0,35,NA,457.92251544,0,0
"Vehicle","973","L","973:L",9,292.89035776,0,35,NA,157.817708333333,0,0
"Vehicle","955","R","955:R",9,292.198509,1,19,22,128.680331626667,0,0
"Vehicle","955","L","955:L",9,2829.0792096,0,19,22,1674.53775292,0,0
"Vehicle","992","R","992:R",9,226.108168416667,0,35,NA,59.49570264,0,0
"Vehicle","992","L","992:L",9,2483.82047087333,0,35,NA,112.06776808,0,0
"Vehicle","982","R","982:R",9,335.11737292,0,35,NA,154.981203463333,0,0
"Vehicle","982","L","982:L",9,314.520164026667,0,35,NA,147.801841,0,0
"Vehicle","951","R","951:R",9,1446.24593064,0,19,22,348.738657333333,0,0
"Vehicle","951","L","951:L",9,567.292569266667,1,19,22,127.43078328,0,0
"Vehicle","953","R","953:R",9,1181.87127511667,0,35,NA,1061.36940266667,0,0
"Vehicle","953","L","953:L",9,1029.41088354,0,35,NA,649.117732973333,0,0
"Vehicle","966","R","966:R",9,822.954725926667,1,19,22,352.018858333333,0,0
"Vehicle","966","L","966:L",9,1146.76335116667,0,19,22,703.64494872,0,0
"Vehicle","986","R","986:R",9,321.54732441,0,35,NA,152.70590556,0,0
"Vehicle","986","L","986:L",9,782.76732027,0,35,NA,380.094404266667,0,0
"JQ1","970","R","970:R",9,437.4316416,0,35,NA,86.407776,1,0
"JQ1","970","L","970:L",9,418.59376581,0,35,NA,168.77957184,1,0
"JQ1","935","R","935:R",9,484.90120704,0,35,NA,341.963113,1,0
"JQ1","935","L","935:L",9,767.58058153,0,35,NA,190.972599906667,1,0
"JQ1","934 (dead)","R","934 (dead):R",9,NA,0,3,6,281.946570186667,1,0
"JQ1","934 (dead)","L","934 (dead):L",9,NA,1,3,6,746.931628053333,1,0
"JQ1","977","R","977:R",9,2789.40465229333,0,19,22,458.270266253333,1,0
"JQ1","977","L","977:L",9,77.95241226,1,19,22,53.9234753866667,1,0
"JQ1","961","R","961:R",9,37.7538946666667,0,35,NA,63.82340136,1,0
"JQ1","961","L","961:L",9,378.543694333333,0,35,NA,749.15541792,1,0
"JQ1","936","R","936:R",9,977.81699247,1,19,22,617.455814583333,1,0
"JQ1","936","L","936:L",9,999.108080656667,0,19,22,989.36038136,1,0
"JQ1","971","R","971:R",9,198.11176252,0,35,NA,105.65027376,1,0
"JQ1","971","L","971:L",9,677.486727083333,0,35,NA,1559.76859050667,1,0
"JQ1","952","R","952:R",9,3587.65310619,1,19,22,1761.34583025,1,0
"JQ1","952","L","952:L",9,1652.7738069,0,19,22,864.85112316,1,0
"JQ1","958","R","958:R",9,318.21528358,0,35,NA,107.9689,1,0
"JQ1","958","L","958:L",9,721.274919366666,0,35,NA,267.21445059,1,0
"XRT","837","R","837:R",9,1297.55633366333,0,19,22,1131.9072,0,1
"XRT","837","L","837:L",9,646.38701575,1,19,22,222.129984666667,0,1
"XRT","976","R","976:R",9,299.83798299,0,35,NA,89.6208333333333,0,1
"XRT","976","L","976:L",9,124.58336848,0,35,NA,218.524614163333,0,1
"XRT","960","R","960:R",9,283.871555036667,1,19,22,282.27401776,0,1
"XRT","960","L","960:L",9,648.793102503333,0,19,22,56.3806802933333,0,1
"XRT","979","R","979:R",9,552.3254976,0,35,NA,388.87770856,0,1
