"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day"
"JQ1+ XRT","972(no tag)","L","972(no tag):L",19,327.64702404,0,35,NA
"JQ1+ XRT","954","L","954:L",19,246.41556002,0,35,NA
"JQ1+ XRT","999","L","999:L",19,74.18544532,0,35,NA
"JQ1+ XRT","847","L","847:L",19,1479.17385045333,1,19,22
"JQ1+ XRT","848","L","848:L",19,125.553657786667,1,19,22
"JQ1+ XRT","996","L","996:L",19,34.8798652266667,0,35,NA
"JQ1+ XRT","967","L","967:L",19,168.00034944,0,35,NA
"JQ1","970","L","970:L",22,1034.0064274,0,35,NA
"JQ1","935","L","935:L",22,1603.77210672,0,35,NA
"JQ1","934 (dead)","L","934 (dead):L",22,NA,1,3,6
"JQ1","977","L","977:L",22,NA,1,19,22
"JQ1","961","L","961:L",22,176.01588396,0,35,NA
"JQ1","936","L","936:L",22,NA,1,19,22
"JQ1","971","L","971:L",22,1025.956692,0,35,NA
"JQ1","952","L","952:L",22,NA,1,19,22
"JQ1","958","L","958:L",22,536.02731504,0,35,NA
"JQ1+ XRT","991","L","991:L",22,20.92941252,0,35,NA
"JQ1+ XRT","965","L","965:L",22,251.05026753,0,35,NA
"JQ1+ XRT","956","L","956:L",22,155.65678336,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",22,383.764389166667,0,35,NA
"JQ1+ XRT","954","L","954:L",22,275.28922278,0,35,NA
"JQ1+ XRT","999","L","999:L",22,53.0431826666667,0,35,NA
"JQ1+ XRT","847","L","847:L",22,NA,1,19,22
"JQ1+ XRT","848","L","848:L",22,NA,1,19,22
"JQ1+ XRT","996","L","996:L",22,35.0207130666667,0,35,NA
"JQ1+ XRT","967","L","967:L",22,160.455248673333,0,35,NA
"JQ1","970","L","970:L",27,1237.40383513,0,35,NA
"JQ1","935","L","935:L",27,1915.66898496,0,35,NA
"JQ1","934 (dead)","L","934 (dead):L",27,NA,1,3,6
"JQ1","977","L","977:L",27,NA,1,19,22
"JQ1","961","L","961:L",27,227.797141446667,0,35,NA
"JQ1","936","L","936:L",27,NA,1,19,22
"JQ1","971","L","971:L",27,1912.58860257,0,35,NA
"JQ1","952","L","952:L",27,NA,1,19,22
"JQ1","958","L","958:L",27,944.54777088,0,35,NA
"JQ1+ XRT","991","L","991:L",27,12.50131968,0,35,NA
"JQ1+ XRT","965","L","965:L",27,382.76287884,0,35,NA
"JQ1+ XRT","956","L","956:L",27,138.704610496667,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",27,127.718386346667,0,35,NA
"JQ1+ XRT","954","L","954:L",27,137.346040303333,0,35,NA
"JQ1+ XRT","999","L","999:L",27,42.21837388,0,35,NA
"JQ1+ XRT","847","L","847:L",27,NA,1,19,22
"JQ1+ XRT","848","L","848:L",27,NA,1,19,22
"JQ1+ XRT","996","L","996:L",27,37.46573268,0,35,NA
"JQ1+ XRT","967","L","967:L",27,119.955117333333,0,35,NA
"JQ1","970","L","970:L",30,1532.09911408333,0,35,NA
"JQ1","935","L","935:L",30,2468.30511438667,0,35,NA
"JQ1","934 (dead)","L","934 (dead):L",30,NA,1,3,6
"JQ1","977","L","977:L",30,NA,1,19,22
"JQ1","961","L","961:L",30,214.93978868,0,35,NA
"JQ1","936","L","936:L",30,NA,1,19,22
"JQ1","971","L","971:L",30,1458.7056045,0,35,NA
"JQ1","952","L","952:L",30,NA,1,19,22
"JQ1","958","L","958:L",30,1182.25465917333,0,35,NA
"JQ1+ XRT","991","L","991:L",30,15.1265627333333,0,35,NA
"JQ1+ XRT","965","L","965:L",30,414.92411532,0,35,NA
"JQ1+ XRT","956","L","956:L",30,111.32269632,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",30,110.211982026667,0,35,NA
"JQ1+ XRT","954","L","954:L",30,160.26803664,0,35,NA
"JQ1+ XRT","999","L","999:L",30,42.4795423333333,0,35,NA
"JQ1+ XRT","847","L","847:L",30,NA,1,19,22
"JQ1+ XRT","848","L","848:L",30,NA,1,19,22
"JQ1+ XRT","996","L","996:L",30,34.5818666666667,0,35,NA
"JQ1+ XRT","967","L","967:L",30,148.41387567,0,35,NA
"JQ1","970","L","970:L",35,1363.62821628,0,35,NA
"JQ1","935","L","935:L",35,1820.93776708667,0,35,NA
