"Mouse","ID","Day","Volume","Group","death","sac_day","Baseline"
"414","414:L",28,342.461294933333,"Vehicle",0,NA,195.88
"411","411:L",28,NA,"Vehicle",1,19,96.94
"418","418:L",28,NA,"Vehicle",1,14,93.81
"404","404:L",28,NA,"Vehicle",1,19,278.73
"412","412:L",28,NA,"Vehicle",1,14,309.55
"no tag","no tag:L",28,730.56837789,"Vehicle",0,NA,244.12
"425","425:L",28,1172.58938906333,"JQ1",0,NA,176.63
"419","419:L",28,928.095873806667,"JQ1",0,NA,138.45
"406","406:L",28,NA,"JQ1",1,19,127.98
"407","407:L",28,788.45281308,"JQ1",0,NA,72.15
"403","403:L",28,NA,"JQ1",1,19,428.58
"405","405:L",28,NA,"JQ1",1,14,184.99
"408","408:L",28,NA,"JQ1",1,19,441.27
"409","409:L",28,NA,"JQ1",1,19,58.23
